epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,10334.3,1.32203,0.58898,0.98621,0.97927,0.9886,0.98853,0.58734,1.38512,0.50629,1.0413,0.0002872,0.0002872,0.0002872
74,10482.2,1.31214,0.58252,0.98759,0.98099,0.98678,0.98792,0.58908,1.38321,0.50583,1.03991,0.0002773,0.0002773,0.0002773
75,10630.8,1.30194,0.5853,0.98387,0.98328,0.98694,0.98869,0.5898,1.38058,0.50515,1.03945,0.0002674,0.0002674,0.0002674
76,10775,1.29593,0.58092,0.98311,0.98128,0.98659,0.98819,0.59216,1.37633,0.50187,1.03671,0.0002575,0.0002575,0.0002575
77,10923.3,1.28363,0.57602,0.9782,0.98154,0.98666,0.98764,0.59151,1.36909,0.49811,1.0361,0.0002476,0.0002476,0.0002476
78,11064.8,1.28886,0.57384,0.98307,0.98247,0.98616,0.98825,0.5954,1.36175,0.49587,1.03331,0.0002377,0.0002377,0.0002377
79,11208.4,1.28457,0.57532,0.97744,0.98247,0.98179,0.98801,0.59494,1.3605,0.4981,1.03302,0.0002278,0.0002278,0.0002278
80,11347.2,1.2767,0.57199,0.97995,0.98001,0.98896,0.98831,0.59569,1.35701,0.4977,1.03363,0.0002179,0.0002179,0.0002179
81,11490.7,1.26678,0.57029,0.97643,0.98307,0.98547,0.98854,0.5953,1.3584,0.49634,1.03337,0.000208,0.000208,0.000208
82,11628.6,1.27081,0.57334,0.97576,0.98244,0.98598,0.98846,0.59642,1.35381,0.49397,1.0321,0.0001981,0.0001981,0.0001981
83,11773.4,1.26211,0.56315,0.96887,0.98296,0.98793,0.98934,0.59719,1.35264,0.49417,1.03274,0.0001882,0.0001882,0.0001882
84,11912.8,1.24664,0.56401,0.96888,0.98136,0.99022,0.98858,0.59792,1.35125,0.49117,1.03075,0.0001783,0.0001783,0.0001783
